t,y0,y1,y2,u0,u1,u2
0,0.673589716492484,0.343363085214504,0.780305241087862,-1,-3,-1
0,0.319720152578826,-1.21529884536011,1.46293897397343,-1,-1,-1
0,1.58963308059295,-2.50601462933145,0.049712383565118,-1,1,-1
0,-0.79843089455936,1.21482822062458,-0.753489252226229,-1,1,-1
0,-1.09608650791134,1.78895954618956,-0.629534954806164,-1,1,-1
0,-1.74589983337988,4.11718240594478,-1.06549742301113,-1,1,-1
0,-2.72575856306728,4.14961218111589,-1.09134957426993,-1,1,-1
0,-2.0558145811471,5.65908027359516,-1.70435815383883,-1,1,-1
0,-4.52250247189848,6.64765954241376,-2.54024094309596,-1,1,-1
0,-6.28525475740659,8.67750270863754,-3.0002766484629,-1,1,-1
0,-4.95337678395807,8.80256677900334,-3.90001152625692,-1,-1,-1
0,-5.52436761512104,9.77596283911532,-5.30367614377949,-1,-1,1
0,-5.00173791344109,8.03919513650599,-3.9219589828062,-1,-1,1
0,-7.25946794388454,7.55913275850494,-1.40463255576004,-1,-1,1
0,-7.69814326424493,6.95115919611688,-1.06612800660093,-1,1,1
0,-6.04082936951554,7.28168656014344,-0.113997744081927,-1,1,-0.999999999999996
0,-8.04730980550675,9.0144974432619,-0.036168616986788,-1,1,-1
0,-9.11820956711349,11.3399712890324,-0.679035423442642,-1,1,-1
0,-9.36434389459102,11.3446212953069,-2.21804757345066,-1,1,-1
0,-10.7481870332672,13.2249859019478,-1.84621611830197,-1,1,-1
0,-10.2994912736962,14.1017670091725,-3.81066727211846,-1,1,-1
0,-11.1273457180135,14.45450362073,-5.0986803812358,-1,1,-1
0,-12.2668021462093,15.5489416616331,-4.6509753820828,-1,-1,-1
0,-12.4433873265644,16.8482785565012,-5.27000280639679,-1,-1,1
0,-13.4793434730577,16.1876938153722,-3.27979006384137,-1,-1,1
0,-14.6087017055684,15.4480254224899,-1.65065440927386,-1,-1,1
0,-14.5844982980524,16.2681829753904,-1.22350154100612,-1,1,1
0,-16.6223510754486,16.0767947407776,1.10427882162807,-1,1,-1
0,-17.7445296442635,16.4026253278302,-0.586572739771957,-1,1,-1
0,-16.2398368294732,17.9296948218951,-0.818871471686666,-1,1,-1
0,-18.5496768205341,19.6908825975284,-1.25938659645025,-1,-0.999999999999991,-1
0,-18.8111165253422,19.3881338153944,-0.946399070287235,-1,-1,1
0,-19.0503902650009,19.3813977200986,0.008839741495325,-1,-1,1
0,-20.1941838889031,19.0519922929809,1.35372277496874,-1,-1,1
0,-20.42566793292,17.83871490157,4.54043094013962,-1,-1,1
0,-21.0852242357738,16.0127306318539,3.91965296176542,-1,-1,1
0,-21.8551750643836,14.8286069802404,7.7708619836999,-1,-1,1
0,-23.0915910890421,14.2795551074307,8.64152234415759,-1,-1,1
0,-23.3680203962093,14.2395806659832,9.76551939619164,-1,-1,1
0,-25.309646354636,12.3907455646958,10.6969767910836,-1,-1,1
0,-25.8887672607323,12.3927856645256,12.8154574310656,-1,-1,1
0,-25.4051263067483,11.0317100497857,14.0553767381096,1,-1,1
0,-24.8199303852709,10.165141113867,14.9911126095566,1,-1,1
0,-24.7072997893065,8.09548730939608,14.7830626634899,1,-1,-1
0,-23.3423990975333,7.11745863186177,14.0065330489666,1,-1,-1
0,-21.5778253976168,7.01000627393104,14.6355914962011,1,-1,-1
0,-19.1296922044262,4.51417399276326,13.6537042634863,1,-1,-1
0,-17.660141440376,5.05713428280718,13.6333130881597,1,-1,-1
0,-16.6851431421269,4.86282773605383,12.5006975000271,1,-1,-1
0,-15.0116703063328,4.51544330043412,10.989568204394,1,-1,-1
0,-14.3569103751233,2.41405648104883,11.2567619829258,1,1,-1
0,-13.8799527615325,4.31821415346092,9.19585232544748,1,1,1
0,-13.6062151015613,3.1462032165161,10.6758105955399,1,1,1
0,-13.2444004303383,3.96234575511963,10.483676804652,-1,0.999999999999982,1
0,-14.8013671256996,5.07006354049169,10.0654102008837,-1,-1,1
0,-16.0679608093512,5.38264371598972,11.0663795787918,-1,-1,1
0,-15.8358574636251,2.74047526516257,11.8999840232212,-1,-1,1
0,-16.4078910165625,0.926363772213128,14.0349461410861,-1,-1,1
0,-18.5758220702033,2.41539928878107,15.7222990321499,-1,-1,1
0,-18.8299617530427,3.01337143025883,15.8142191103229,-1,-1,1
0,-20.5131547723001,3.5118614534583,17.2588287548311,-1,-1,1
0,-20.5564636494557,1.25273980175012,18.5794632037283,-1,-1,1
0,-21.603106183973,-1.42393425408848,19.835891276869,-1,-1,1
0,-22.6650230334777,-0.748328124975761,20.9746812385753,-1,-1,1
0,-23.4383779342827,-1.02590243630449,22.3711272761637,-1,-1,1
0,-22.9200062671785,0.053503556400953,24.3470030617636,1,-1,1
0,-23.060252472463,-1.57952330916716,26.1355770057631,1,-1,0.999999999999982
0,-21.880221896169,-5.64748133983832,26.1893755083677,1,-1,-1
0,-18.8417105129011,-5.3746644623715,25.4401955938573,1,-1,-1
0,-17.7916176861348,-5.75367078047911,24.104124178403,1,-1,-1
0,-19.144271757825,-7.60753392961843,22.8464511889704,1,1,-1
0,-15.9707025424288,-6.50275293129742,22.4673365741541,1,1,1
0,-16.2003002572855,-5.50617861010455,23.50414243666,1,1,1
0,-15.4134873806963,-5.81422835842175,21.8433381917697,1,1,1
0,-16.4458242205911,-7.19692938705051,21.9961139777979,1,1,1
0,-16.9796078936371,-6.14157225439015,22.1356502395521,1,1,1
0,-14.8622518926195,-6.60855517743637,24.242322023231,0.999999999999982,1,1
0,-16.2677986433442,-4.94006296617839,22.44816056706,-1,1,1
0,-16.2132355066868,-4.80743413437451,23.7164504532734,-1,1,0.999999999999982
0,-18.3626310290486,-5.65671686114859,22.7613308887764,-1,1,-1
0,-19.0231070869639,-4.79424516781852,23.195084873449,-1,1,-1
